fr,en
il a pas pu faire grand chose qui puisse choquer cassie,he could not do much that could shock cassie
jpense juste qu'il aime pas qu'on s'introduise dans sa tete,i just think he does not like us getting into his head
par contre pour que sunny ne veulent pas que cassie voit c'est souvenir des derniere annee il a vraiment du faire des dinguerie,on the other hand so that sunny does not want cassie to see it is memory of the last year he really had to do some crazy things
c'est pas simplement du a son effacement du destin ils devraient etre en mesure de faire le lien mais si l'autre piaf a des bouts de pouvoir du demon de l'oubli ca expliquerait tout,it is not just because of its erasure of destiny they should be able to make the connection but if the other piaf has some bits of power of the demon of oblivion that would explain everything
psq la le fait qu'ils oublient a chaque fois,psq the fact that they forget every time
possible,possible
il aurait pas voler des pouvoirs au demon de l'oubli,he would not steal powers from the demon of oblivion
le piaf de merde la,the shitty piaf there
par contre dcp,but dcp
elle sait juste que c'est lui l'anomalie,she just knows he is the anomaly
elle peut tjrs pas se souvenir que c'est lui son ancien compagnon etc,she cannot remember that he is her old companion etc
et comme elle a compris que y'a une anomalie avec sunny elle a fait le lien que sunny anomalie,and as she understood that there was an anomaly with sunny she made the connection that sunny anomaly
elle a oublie mais grace a son the elle a compris qu'elle a oublie,she forgot but thanks to her the she realized she forgot
c'est justement comme ca qu'elle a compris,that is just how she understood
mais dcp quand sunny le dis directement elle oublie tt mais quand elle le comprend toute seule elle retient cest un peu bizzare quand meme mais si la comprehension reste indirect sa nen reste la comprehension de qui est sunny ce qui est contraire au manque de destin quil a,but dcp when sunny says it directly she forgets it but when she understands it alone she retains it a bit bizzar when even but if understanding remains indirect her nen remains the understanding of who is sunny what is contrary to the lack of destiny he has
mais quand meme cassie qui parce que son the est instant devenu froid elle comprend que elle a en face delle lancien mentendre de sa cohorte qui a disparu de la memoire de tt le monde,but when the same cassie who because her the moment became cold she understands that she has in front of her old man to hear from her cohort who disappeared from the memory of the world
tu t'es autoproclame tu n'etais pas la lors de la creation,you self-proclaimed you were not there at creation
shibalaugh,shibalaugh
noublie pas tu nest que le premier alors que je suis le meilleurs,do not forget you are only the first when i am the best
cassie mais quelle genie bordel de merde,cassie but what a fucking bitch
sunny et cassie qui vont faire le casse du siecle,sunny and cassie who will break the century
cassie je suis amoureux,i am in love
c'est pas ma femme pour rien,she is not my wife for nothing
cassie iq,cassia iq
c pas le meme lvl on va dire,c not the same lvl we will say
les attributs divin cest un autre level putain,divine attributes is another fucking level
en meme tps que veut tu faire contre un cafard transcendant qui se clone,in the same tps you want to do against a transcendent cockroach that clones itself
reel,real
enft en dehors de la nuke de nephis personne peut rien faire contre ce type les souverains compte pas,but outside the nuke of nephis no one can do anything against this guy sovereigns do not count
c son faux style de combat sah,c his false fighting style sah
si un clone est capable de ca,if a clone is capable of this
mais le combat contre nephis jme dis,but the fight against nephis
meme ca cest trop ingenieux,even that is too ingenious
a part celui de rain il est dans labu lui,aside from the one of brass he is in the bush
jai jure il font trop le taff,i swear they do too much taff
les clones de sunny sont trop trop forts,sunny clones are too strong
par contre force au reflet quil a envoye chez sunny,on the other hand the reflection he sent to sunny
jespere quil va pas trop tarder a agir,i hope he is not too soon to act
hate de lintroduction dasterion aussi,haste of the introduction dasterion also
mordret en saint il doit etre tellement fort ce mec,it must be so loud that this guy
jai instant compris jetait choque,i realized moment was shocking
elle sait pas que ya un fou furieux qui traine dedans,she does not know there is a madman hanging in there
rain qui comprend pas pourquoi sunny a peur des miroirs jsuis mort,rain that does not understand why sunny is afraid of mirrors i am dead
surtout que cassie a fait ca pour avoir une arme comme elle le dit dans les derniers chap,especially that cassie did this to have a gun as she says in the last chapter
par contre lutilisation du pouvoir de mordret par le domaine de song est mastermind jai jure,against the use of mordert power by the domain of song is mastermind jai jure
mais entre kai et jet si ils doivent choisir ils hesiteront pas,but between kai and jet if they have to choose they will not hesite
jet etait lamie de sunny,jet was half of sunny
et comme jet est sympa ils sont en bons termes,and as jet is nice they are on good terms
oe pas faux,o not false
mordret et jet cest des ajouts temporaires,mordret and jet is temporary additions
surtout lequipe de base ils ont subis tellement de truc,especially the basic team they have been through so much
mordret,mordret
oe c pour sa jai un peu de mal a y croire dans laide de cassie,oe c for her jai a little hard to believe in cassy help
genre jai du mal a voir un etranger se rajouter au groupe vu tout ce que la cohorte de base a traverse,like i am having a hard time seeing a stranger add to the group given all that the basic cohort went through
en sois je pense meme pas quil va y avoir de eme cauchemars je pense que il va evoluer differenteremment,i do not even think there is going to be any nightmares i think it is going to evolve differently
sinon jvois pas comment tu redev leur relation de vu comment la cohorte est soude mtn,i do not know how you are going to get back to their relationship again considering how the cohort is soda mtn
perso jy crois un peu a sa,perso jy believes in his
je pense que ca va passer par cassie,i think it is going to be a break
ou sinon il passe par un autre chemin,or else it passes another way
sauf si cassie la goat arrive a trouver un moyen de sen souvenir,unless cassia goat comes to find a way to remember her
mais pour quil passe un eme cauchemar ensemble faut quil soit vrm tres proche quoi,but for him to have a nightmare together must be very close what
ca sera une nouvelle personne quils connaissent de,it will be a new person they know of
mais ca sera pas sunny lhomme avec qui ils se sont battus sur le rivage oublie etc,but it will not be sunny lman with whom they fought on the shore forgets etc
ouais voila,yeah
comme il est en bon terme avec effie par exemple,as it is in good term with effiy for example
en sois la shadow a developpe un lien avec neph donc possible,be the shadow developed a connection with neph so possible
mais ca va etre une toute nouvelle personne,but it is going to be a whole new person
bah il peut redevenir lami de neph,bah it can become nep again
mais le truc c que on sait quil va retourne dans la pyramide en tant que souverrain avec nephis donc sois il retourne la bas pour tue loiseau et recup son destin sa voudrait dire quil aurait entre tps trouve une solution pour sallie au moin avec neph sois il va trouve une solution entre tps,but the c thing that we know he is going back to the pyramid as a suverrain with nephis so be it he goes back to the bottom to kill the bird and picks up his destiny would mean that he would have between tps found a solution for sallie to the monk with neph be it will find a solution between tps
oe je vois,o i see
cest comme un trou dans leur memoire,it is like a hole in their memory
pareil pour le diable de lantarctique,the same for the lantarctic devil
non ducoup vu que mongrel etait relie a sunny pour les membres de la cohorte,not because mongrel was connecting to sunny for the cohort members
pourtant mongrel et sunny nont jamais ete relie sauf par personne en sois,yet mongrel and sunny never were connected except by no one at all
mais il ne se souviennent ni de mongrel ni du diable de lantarctique aussi nan,but they do not remember mongrel or the lantarctic devil as nan
cest terrible,that is terrible
mais si jamais il va voir un mec et il lui dit ouais jetait sunless le diable de lantarctique bah ils vont oublier,but if he ever goes to see a guy and he tells him yeah sunless the lantarctic devil bah they will forget
dou le fait quil puisse se presenter a rain comme son frere vu quil lavait pas fait avant,or the fact that he could present himself with a groove like his brother since he had not washed before
il peut seulement devenir ce quil netait pas avant,he can only become what he was not before
cest que tout ce qui existe et est lie a sunny avant le tombeau est directement oublie,is that all that exists and is bound to sunny before the tomb is directly forgotten
cest pire,it is worse
perso je pense que sa va se passe par une recuperation de vrai nom dcp,personal i think his will is going through a recovery of real name dcp
bordel de merde do tant quil ne recupere pas son destin ou quil ne trouve pas de moyen detourne de montrer son existence a la cohorte elle ne reconnaitra pas son existence avant quil ai recup son destin,shit shit so long as he does not recover his destiny or find no way to show his existence to the cohort she will not recognize his existence until he recovers his destiny
jpense quelle va etre la cle du retour de sunny sur le devant de la scene,jpense what the key to the return of sunny on the front of the stage will be
donc cassie pre tombeau etait au courant de ce qui allait arriver a sunny cest fou,so cassie pre tomb was aware of what was going to happen to sunny this crazy
jpense vraiment que ya aucun moyen pour elle de s'en souvenir ya que cassie qui le peut dans une certaine mesure,i really think that there is no way for her to remember there is that cassie who can to some extent
parfait tout ca ma theorie sur les effets du sans destin de sunny sur les vision de cassie etait correct,perfect all this my theory on the effects of the fateless sunny on the vision of cassia was correct
shibalaugh bon bah mission avorte retour sur sunny,shibalaugh good bah mission avorte back on sunny
vraiment des dingueries en ce moment,really crazy right now
mamama ils sont trop bien les chaps,mama they are too good chaps
donc c'etait bien un ecrit de cassie du passe,so it was a cassie writing of the pass
thanks gray,thanks gray
bah plus tard j'imagine mais pour l'instant sa a pas l'air d'etre le cas,well later on i guess but for now he does not seem to be the case
nephis va pas ce souvenir de lui il me semble,nephis is not going to remember him it seems to me
merci pour ce chapitre,thank you for this chapter
la question est comment il a amene nephis a se souvenir de lui peut etre qu'il a va faire un contre cle de l'estuaire une memoire qui empeche l'oublie,the question is how he brought nephis to remember him may be that he is going to make a counter to the estuary a memory that keeps the forget
cest encore pire que ce que je pensais,it is even worse than i thought
cest vraiment terrible ce qui est arrive a sunny enft,it is really terrible what happened to sunny after
mrc gray,mrc gray
merci gray,thank you gray
kai qu'est-ce qu'il est style,kai what is he style
bon courage,good courage
bon je pense que je vais prendre une pause d'une semaine ou deux l'arc sur rain est sympa mais j'aime pas les transition qui te laisse sur la fin pour avoir - chap avant d'avoir la reponse et sa m'empeche d'aprecier celui de rain,well i think i am going to take a break for a week or two the bow on the groove is nice but i do not like the transitions that leave you on the end for - chap before i get the answer and it prevents me from prefixing the one of groove
nan je crois pas,i do not think so
il y a eu un debut de publication papier de l'oeuvre,there was a paper publication start of the work
quelqu'un a une banniere anime ss sympa,someone has a banished anime ss nice
en sah c'est possible mdrrr,in sah it is possible mdrr
ducoup il dit ce qu'il veut,then he says what he wants
elle le prend pour un timbre,she thinks it is a stamp
de leur relation frere et soeur,their brother and sister relationship
il en avait deja parler hier,he was already talking about it yesterday
